学科,模块,任务,主要要求,不可绕过要求,借力步骤,现有依据,规则,审核状态
"语文","现代文阅读","小说（文学类文本小说散文2选1）+戏剧","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","阅读首先要求理解和组织文本，再调用推演与记忆。","chinese-reading","待教研复核"
"语文","现代文阅读","散文（文学类文本小说散文2选1）","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","阅读首先要求理解和组织文本，再调用推演与记忆。","chinese-reading","待教研复核"
"语文","现代文阅读","信息文","语言","语言","语言：先用自己的话说清题目要求，再找出对应信息；推演：先连接已知条件，写出每一步能推出什么","信息文先要求理解和组织文本，推演用于连接证据与结论。","chinese-information-text","待教研复核"
"语文","古诗文阅读","文言文","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","阅读首先要求理解和组织文本，再调用推演与记忆。","chinese-reading","待教研复核"
"语文","古诗文阅读","诗歌","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","阅读首先要求理解和组织文本，再调用推演与记忆。","chinese-reading","待教研复核"
"语文","古诗文阅读","名篇名句默写","记忆","记忆、语言","语言：先用自己的话说清题目要求，再找出对应信息","核心动作是保持并提取已学材料。","chinese-recall","待教研复核"
"语文","语言文字运用","语言文字运用","语言","语言","语言：先用自己的话说清题目要求，再找出对应信息；推演：先连接已知条件，写出每一步能推出什么","任务直接考查语境理解与语言组织，规则判断和记忆提供支持。","chinese-language-use","待教研复核"
"语文","作文","作文","语言","语言","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","成文的直接要求是组织与表达，推演和材料提取提供支持。","chinese-writing","待教研复核"
"数学","初高衔接","常见结论","推演","推演","","学科通用任务框架；具体节点待教研复核。","无具体路径规则","待教研复核"
"数学","初高衔接","指对运算","数理","数理","推演：先连接已知条件，写出每一步能推出什么；记忆：先回想并写下相关概念，再对照材料补全","任务直接处理数量、符号和变化，推演与公式提取提供支持。","math-quantitative","待教研复核"
"数学","初高衔接","一次函数的图像和性质","数理","数理、空间","空间：先画出对象和位置，标出题目给出的条件；推演：先连接已知条件，写出每一步能推出什么","函数关系以数量变化为主，图像结构可作为固定辅助入口。","math-function-visual","待教研复核"
